RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	-73118	-107241	1.436944	104.049444	1:26:13N	104:02:58E	48NUG9425558848	NA48-10	H	RF		SN	00				N			Beting	BETINGBRONOK	Beting Bronok	Beting Bronok	BRONOK BETING	Bronok, Beting	Bronok, Beting		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73118	-108038	1.436944	104.049444	1:26:13N	104:02:58E	48NUG9425558848	NA48-10	H	RF		SN	00				V				TRUMBOBURONG	Trumbo Burong	Trumbo Burong	TRUMBOBURONG	Trumbo Burong	Trumbo Burong		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73115	-107237	1.261944	103.839167	1:15:43N	103:50:21E	48NUG7085139512	NA48-10	H	SHOL		SN	00				N				BRANISHOALS	Brani Shoals	Brani Shoals	BRANISHOALS	Brani Shoals	Brani Shoals		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73738	-108059	1.335833	103.8975	1:20:09N	103:53:51E	48NUG7734547677	NA48-10	P	PPLX		SN	00				N				MOUNTVERNON	Mount Vernon	Mount Vernon	MOUNTVERNON	Mount Vernon	Mount Vernon		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73737	-108058	1.428056	104.054167	1:25:41N	104:03:15E	48NUG9478057865	NA48-10	H	CRKT		SN	00				N			Sungai	SUNGAIUNUM	Sungai Unum	Sungai Unum	UNUM SUNGAI	Unum, Sungai	Unum, Sungai		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73735	-108055	1.322778	103.752222	1:19:22N	103:45:08E	48NUG6117946242	NA48-10	H	STM		SN	00				N			Sungai	SUNGAIULUPANDAN	Sungai Ulu Pandan	Sungai Ulu Pandan	ULUPANDAN SUNGAI	Ulu Pandan, Sungai	Ulu Pandan, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73732	-108051	1.232778	103.756389	1:13:58N	103:45:23E	48NUG6163836292	NA48-10	T	ISL		SN	00				N			Pulau	PULAUULAR	Pulau Ular	Pulau Ular	ULAR PULAU	Ular, Pulau	Ular, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73731	-108050	1.411944	103.963889	1:24:43N	103:57:50E	48NUG8473556088	NA48-10	T	ISL		SN	00				N			Pulau	PULAUUBIN	Pulau Ubin	Pulau Ubin	UBIN PULAU	Ubin, Pulau	Ubin, Pulau		1996-11-29	1,2,3,4,5,6	1			1995-04-27		
5	-73730	-108049	1.310556	103.813611	1:18:38N	103:48:49E	48NUG6800944887	NA48-10	P	PPLX		SN	00				N				TYERSALLPARK	Tyersall Park	Tyersall Park	TYERSALLPARK	Tyersall Park	Tyersall Park		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73391	-107595	1.415278	103.676667	1:24:55N	103:40:36E	48NUG5277856473	NA48-10	P	PPLL		SN	00				N				LIMCHUKANGESTATE	Lim Chu Kang Estate	Lim Chu Kang Estate	LIMCHUKANGESTATE	Lim Chu Kang Estate	Lim Chu Kang Estate		1995-04-27	1,2,3,4,5	1			1995-04-25		
