RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	-73118	-107241	1.436944	104.049444	1:26:13N	104:02:58E	48NUG9425558848	NA48-10	H	RF		SN	00				N			Beting	BETINGBRONOK	Beting Bronok	Beting Bronok	BRONOK BETING	Bronok, Beting	Bronok, Beting		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73118	-108038	1.436944	104.049444	1:26:13N	104:02:58E	48NUG9425558848	NA48-10	H	RF		SN	00				V				TRUMBOBURONG	Trumbo Burong	Trumbo Burong	TRUMBOBURONG	Trumbo Burong	Trumbo Burong		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73115	-107237	1.261944	103.839167	1:15:43N	103:50:21E	48NUG7085139512	NA48-10	H	SHOL		SN	00				N				BRANISHOALS	Brani Shoals	Brani Shoals	BRANISHOALS	Brani Shoals	Brani Shoals		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73737	-108058	1.428056	104.054167	1:25:41N	104:03:15E	48NUG9478057865	NA48-10	H	CRKT		SN	00				N			Sungai	SUNGAIUNUM	Sungai Unum	Sungai Unum	UNUM SUNGAI	Unum, Sungai	Unum, Sungai		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73735	-108055	1.322778	103.752222	1:19:22N	103:45:08E	48NUG6117946242	NA48-10	H	STM		SN	00				N			Sungai	SUNGAIULUPANDAN	Sungai Ulu Pandan	Sungai Ulu Pandan	ULUPANDAN SUNGAI	Ulu Pandan, Sungai	Ulu Pandan, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73388	-107591	1.433333	103.75	1:26:00N	103:45:00E	48NUG6093858465	NA48-10	H	STM		SN	00				D			Sungai	SUNGAILATOH	Sungai Latoh	Sungai Latoh	LATOH SUNGAI	Latoh, Sungai	Latoh, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73383	-107585	1.3	103.766667	1:18:00N	103:46:00E	48NUG6278543723	NA48-10	H	STM		SN	00				D			Sungai	SUNGAILABU	Sungai Labu	Sungai Labu	LABU SUNGAI	Labu, Sungai	Labu, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73382	-107584	1.333333	103.633333	1:20:00N	103:38:00E	48NUG4795147416	NA48-10	H	CRKT		SN	00				V				SUNGEILABOHGANDUM	Sungei Laboh Gandum	Sungei Laboh Gandum	LABOHGANDUM SUNGEI	Laboh Gandum, Sungei	Laboh Gandum, Sungei		1995-07-26	1,2,3,4,5				1995-06-21		
5	-73382	-107583	1.333333	103.633333	1:20:00N	103:38:00E	48NUG4795147416	NA48-10	H	CRKT		SN	00				D			Sungai	SUNGAILABOHGANDOM	Sungai Laboh Gandom	Sungai Laboh Gandom	LABOHGANDOM SUNGAI	Laboh Gandom, Sungai	Laboh Gandom, Sungai		1995-07-26	1,2,3,4,5	1			1995-06-21		
5	-73381	-107582	1.366667	104	1:22:00N	104:00:00E	48NUG8875151081	NA48-10	H	SHOL		SN	00				D			Beting	BETINGKUSAH	Beting Kusah	Beting Kusah	KUSAH BETING	Kusah, Beting	Kusah, Beting		1995-07-26	1,2,3,4,5	1			1995-06-21		
