RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	-73405	-107977	4	102	4:00:00N	102:00:00E	48NSK6683142736	NB48-13	L	RGN		SN	00				V				TANAHMALAYU	Tanah Malayu	Tanah Malayu	TANAHMALAYU	Tanah Malayu	Tanah Malayu		1993-10-18	1,2,3,4,5				1993-09-01		
5	-73405	-107615	4	102	4:00:00N	102:00:00E	48NSK6683142736	NB48-13	L	RGN		SN	00				V				MALAYPENINSULA	Malay Peninsula	Malay Peninsula	MALAYPENINSULA	Malay Peninsula	Malay Peninsula		1993-10-18	1,2,3,4,5				1993-09-01		
5	-73405	-107614	4	102	4:00:00N	102:00:00E	48NSK6683142736	NB48-13	L	RGN		SN	00				N				MALAYA	Malaya	Malaya	MALAYA	Malaya	Malaya		1993-10-18	1,2,3,4,5	1			1993-09-01		
5	-73405	-107240	4	102	4:00:00N	102:00:00E	48NSK6683142736	NB48-13	L	RGN		SN	00				V				BRITISHMALAYA	British Malaya	British Malaya	BRITISHMALAYA	British Malaya	British Malaya		1993-10-18	1,2,3,4,5				1993-09-01		
5	-73209	-107367	1.3275	103.931944	1:19:39N	103:55:55E	48NUG8117746755	NA48-10	L	LCTY		SN	00				N				GEYLANG	Geylang	Geylang	GEYLANG	Geylang	Geylang		1995-04-26	1,2,3,4,5	1			1995-04-26		
5	-73468	-107699	1.316667	103.733333	1:19:00N	103:44:00E	48NUG5907745567	NA48-10	L	RESN		SN	00				D				PANDANNATURERESERVE	Pandan Nature Reserve	Pandan Nature Reserve	PANDANNATURERESERVE	Pandan Nature Reserve	Pandan Nature Reserve		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73456	-107682	1.411389	103.983611	1:24:41N	103:59:01E	48NUG8692956026	NA48-10	L	LCTY		SN	00				N				ONGTINGLYEESTATE	Ong Ting Lye Estate	Ong Ting Lye Estate	ONGTINGLYEESTATE	Ong Ting Lye Estate	Ong Ting Lye Estate		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73178	-107324	1.3275	103.768056	1:19:39N	103:46:05E	48NUG6294146763	NA48-10	L	PRK		SN	00				N				CLEMENTIPARK	Clementi Park	Clementi Park	CLEMENTIPARK	Clementi Park	Clementi Park		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73627	-107515	1.314167	103.936389	1:18:51N	103:56:11E	48NUG8167145280	NA48-10	L	LCTY		SN	00				V				KAMPONGSIGLAP	Kampong Siglap	Kampong Siglap	KAMPONGSIGLAP	Kampong Siglap	Kampong Siglap		1996-11-29	1,2,3,4,5				1993-09-01		
5	-73627	-107907	1.314167	103.936389	1:18:51N	103:56:11E	48NUG8167145280	NA48-10	L	LCTY		SN	00				N				SIGLAP	Siglap	Siglap	SIGLAP	Siglap	Siglap		1996-11-29	1,2,3,4,5	1			1993-09-01		
