RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	-73738	-108059	1.335833	103.8975	1:20:09N	103:53:51E	48NUG7734547677	NA48-10	P	PPLX		SN	00				N				MOUNTVERNON	Mount Vernon	Mount Vernon	MOUNTVERNON	Mount Vernon	Mount Vernon		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73730	-108049	1.310556	103.813611	1:18:38N	103:48:49E	48NUG6800944887	NA48-10	P	PPLX		SN	00				N				TYERSALLPARK	Tyersall Park	Tyersall Park	TYERSALLPARK	Tyersall Park	Tyersall Park		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73391	-107595	1.415278	103.676667	1:24:55N	103:40:36E	48NUG5277856473	NA48-10	P	PPLL		SN	00				N				LIMCHUKANGESTATE	Lim Chu Kang Estate	Lim Chu Kang Estate	LIMCHUKANGESTATE	Lim Chu Kang Estate	Lim Chu Kang Estate		1995-04-27	1,2,3,4,5	1			1995-04-25		
5	-73390	-107594	1.316944	103.794167	1:19:01N	103:47:39E	48NUG6584645595	NA48-10	P	PPLX		SN	00				N				LEEDONPARK	Leedon Park	Leedon Park	LEEDONPARK	Leedon Park	Leedon Park		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73387	31280	1.376944	103.731389	1:22:37N	103:43:53E	48NUG5886452232	NA48-10	P	PPL		SN	00				N		Lam San		LAMSANVILLAGE	Lam San Village	Lam San Village	LAMSANVILLAGE	Lam San Village	Lam San Village		1995-07-26	1,2,3,4,5	1			1995-07-26		
5	-73387	-107589	1.376944	103.731389	1:22:37N	103:43:53E	48NUG5886452232	NA48-10	P	PPL		SN	00				V				LAMSAN	Lam San	Lam San	LAMSAN	Lam San	Lam San		1995-07-26	1,2,3,4,5				1995-07-26		
5	-73372	-107569	1.361667	103.665278	1:21:42N	103:39:55E	48NUG5150750547	NA48-10	P	PPLX		SN	00				N				KIANTECKSANESTATE	Kian Teck San Estate	Kian Teck San Estate	KIANTECKSANESTATE	Kian Teck San Estate	Kian Teck San Estate		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73685	-107990	1.415556	103.761667	1:24:56N	103:45:42E	48NUG6223656499	NA48-10	P	PPLL		SN	00				N				TECKCHONGESTATE	Teck Chong Estate	Teck Chong Estate	TECKCHONGESTATE	Teck Chong Estate	Teck Chong Estate		1995-04-27	1,2,3,4,5	1			1995-04-25		
5	-73683	-107986	1.453333	103.798889	1:27:12N	103:47:56E	48NUG6637960673	NA48-10	P	PPLL		SN	00				N				TAYKENGLOONESTATE	Tay Keng Loon Estate	Tay Keng Loon Estate	TAYKENGLOONESTATE	Tay Keng Loon Estate	Tay Keng Loon Estate		1995-04-27	1,2,3,4,5	1			1995-04-25		
5	-73665	-107962	1.421389	104.050278	1:25:17N	104:03:01E	48NUG9434757128	NA48-10	P	PPLL		SN	00				N				SUNGAIUNUMESTATE	Sungai Unum Estate	Sungai Unum Estate	SUNGAIUNUMESTATE	Sungai Unum Estate	Sungai Unum Estate		1995-04-27	1,2,3,4,5	1			1995-04-25		
5	-73653	-107948	1.315833	103.944444	1:18:57N	103:56:40E	48NUG8256745464	NA48-10	P	PPLX		SN	00				N				SPRINGPARKESTATE	Spring Park Estate	Spring Park Estate	SPRINGPARKESTATE	Spring Park Estate	Spring Park Estate		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73646	-107939	1.358889	103.664722	1:21:32N	103:39:53E	48NUG5144550239	NA48-10	P	PPLL		SN	00				N				SONGHAHESTATE	Song Hah Estate	Song Hah Estate	SONGHAHESTATE	Song Hah Estate	Song Hah Estate		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73640	-107928	1.379167	103.857778	1:22:45N	103:51:28E	48NUG7292752470	NA48-10	P	PPLL		SN	00				N				SINGAPOREUNITEDPLANTATION	Singapore United Plantation	Singapore United Plantation	SINGAPOREUNITEDPLANTATION	Singapore United Plantation	Singapore United Plantation		1995-04-27	1,2,3,4,5	1			1995-04-25		
5	-73411	-107625	1.441111	103.770833	1:26:28N	103:46:15E	48NUG6325759323	NA48-10	P	PPL		SN	00				N				MARSILING	Marsiling	Marsiling	MARSILING	Marsiling	Marsiling		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73356	-107548	1.316667	103.9	1:19:00N	103:54:00E	48NUG7762245559	NA48-10	P	PPLX		SN	00				D				KAMPONGWAKTANJONG	Kampong Wak Tanjong	Kampong Wak Tanjong	KAMPONGWAKTANJONG	Kampong Wak Tanjong	Kampong Wak Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73395	-107601	1.316667	103.866667	1:19:00N	103:52:00E	48NUG7391345560	NA48-10	P	PPLX		SN	00				D				LORONGTIGAESTATE	Lorong Tiga Estate	Lorong Tiga Estate	LORONGTIGAESTATE	Lorong Tiga Estate	Lorong Tiga Estate		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73344	-108008	1.371944	103.703889	1:22:19N	103:42:14E	48NUG5580451680	NA48-10	P	PPL		SN	00				N				TENGAH	Tengah	Tengah	TENGAH	Tengah	Tengah		1995-04-26	1,2,3,4,5	1			1995-04-26		
5	-73344	-107534	1.371944	103.703889	1:22:19N	103:42:14E	48NUG5580451680	NA48-10	P	PPL		SN	00				V				KAMPONGTENGAH	Kampong Tengah	Kampong Tengah	KAMPONGTENGAH	Kampong Tengah	Kampong Tengah		1995-04-26	1,2,3,4,5				1995-04-26		
5	-73338	-107527	1.2625	103.7	1:15:45N	103:42:00E	48NUG5536539581	NA48-10	P	PPLX		SN	00				N				KAMPONGTANAHMERAH	Kampong Tanah Merah	Kampong Tanah Merah	KAMPONGTANAHMERAH	Kampong Tanah Merah	Kampong Tanah Merah		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73337	-107526	1.37	103.951111	1:22:12N	103:57:04E	48NUG8331251452	NA48-10	P	PPLX		SN	00				N				KAMPONGTAMPINES	Kampong Tampines	Kampong Tampines	KAMPONGTAMPINES	Kampong Tampines	Kampong Tampines		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73336	-107524	1.383333	103.9	1:23:00N	103:54:00E	48NUG7762552929	NA48-10	P	PPL		SN	00				D				KAMPONGSUNGAITENGAH	Kampong Sungai Tengah	Kampong Sungai Tengah	KAMPONGSUNGAITENGAH	Kampong Sungai Tengah	Kampong Sungai Tengah		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73335	-107523	1.316667	103.75	1:19:00N	103:45:00E	48NUG6093245566	NA48-10	P	PPL		SN	00				D				KAMPONGSUNGAIPANDAN	Kampong Sungai Pandan	Kampong Sungai Pandan	KAMPONGSUNGAIPANDAN	Kampong Sungai Pandan	Kampong Sungai Pandan		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73606	-107878	1.372778	103.830278	1:22:22N	103:49:49E	48NUG6986751765	NA48-10	P	PPLX		SN	00				N				SEMBAWANGHILLSESTATE	Sembawang Hills Estate	Sembawang Hills Estate	SEMBAWANGHILLSESTATE	Sembawang Hills Estate	Sembawang Hills Estate		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73675	-107976	1.358056	103.940278	1:21:29N	103:56:25E	48NUG8210650132	NA48-10	P	PPLX		SN	00				D				TAMPINESESTATE	Tampines Estate	Tampines Estate	TAMPINESESTATE	Tampines Estate	Tampines Estate		1995-04-26	1,2,3,4,5	1			1995-04-26		
5	-73670	-107971	1.336111	103.903611	1:20:10N	103:54:13E	48NUG7802547708	NA48-10	P	PPLX		SN	00				N				TAISENG	Tai Seng	Tai Seng	TAISENG	Tai Seng	Tai Seng		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73667	-107968	1.32	103.831667	1:19:12N	103:49:54E	48NUG7001945930	NA48-10	P	PPLX		SN	00				N				SWISSCOTTAGEESTATE	Swiss Cottage Estate	Swiss Cottage Estate	SWISSCOTTAGEESTATE	Swiss Cottage Estate	Swiss Cottage Estate		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73281	-107465	1.316667	103.866667	1:19:00N	103:52:00E	48NUG7391345560	NA48-10	P	PPLX		SN	00				D				KAMPONGHOCKSOON	Kampong Hock Soon	Kampong Hock Soon	KAMPONGHOCKSOON	Kampong Hock Soon	Kampong Hock Soon		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73280	-107464	1.320833	103.917778	1:19:15N	103:55:04E	48NUG7960046018	NA48-10	P	PPLX		SN	00				N				KAMPONGEUNOS	Kampong Eunos	Kampong Eunos	KAMPONGEUNOS	Kampong Eunos	Kampong Eunos		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73279	-107462	1.381944	103.736389	1:22:55N	103:44:11E	48NUG5942152784	NA48-10	P	PPL		SN	00				N				KAMPONGCUTFORTH	Kampong Cutforth	Kampong Cutforth	KAMPONGCUTFORTH	Kampong Cutforth	Kampong Cutforth		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73333	-107521	1.388056	103.918333	1:23:17N	103:55:06E	48NUG7966553450	NA48-10	P	PPL		SN	00				N				KAMPONGSUNGAIBLUKAR	Kampong Sungai Blukar	Kampong Sungai Blukar	KAMPONGSUNGAIBLUKAR	Kampong Sungai Blukar	Kampong Sungai Blukar		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73332	-107520	1.423333	104.066667	1:25:24N	104:04:00E	48NUG9617157342	NA48-10	P	PPL		SN	00				N				KAMPONGSUNGAIBELANG	Kampong Sungai Belang	Kampong Sungai Belang	KAMPONGSUNGAIBELANG	Kampong Sungai Belang	Kampong Sungai Belang		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73327	-107514	1.283333	103.733333	1:17:00N	103:44:00E	48NUG5907541882	NA48-10	P	PPL		SN	00				D				KAMPONGSERAYA	Kampong Seraya	Kampong Seraya	KAMPONGSERAYA	Kampong Seraya	Kampong Seraya		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73326	-107513	1.39	103.907222	1:23:24N	103:54:26E	48NUG7842953665	NA48-10	P	PPL		SN	00				N				KAMPONGSERANGOONKECHIL	Kampong Serangoon Kechil	Kampong Serangoon Kechil	KAMPONGSERANGOONKECHIL	Kampong Serangoon Kechil	Kampong Serangoon Kechil		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73325	-107512	1.406944	104.039444	1:24:25N	104:02:22E	48NUG9314155532	NA48-10	P	PPL		SN	00				N				KAMPONGSEMINEI	Kampong Seminei	Kampong Seminei	KAMPONGSEMINEI	Kampong Seminei	Kampong Seminei		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73325	-107886	1.406944	104.039444	1:24:25N	104:02:22E	48NUG9314155532	NA48-10	P	PPL		SN	00				V				SEMINOI	Seminoi	Seminoi	SEMINOI	Seminoi	Seminoi		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73323	-107509	1.398333	104.057778	1:23:54N	104:03:28E	48NUG9518154579	NA48-10	P	PPL		SN	00				N				KAMPONGSANYONGKONG	Kampong Sanyongkong	Kampong Sanyongkong	KAMPONGSANYONGKONG	Kampong Sanyongkong	Kampong Sanyongkong		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73320	-107506	1.216667	103.766667	1:13:00N	103:46:00E	48NUG6278134510	NA48-10	P	PPL		SN	00				D				KAMPONGSAIGON	Kampong Saigon	Kampong Saigon	KAMPONGSAIGON	Kampong Saigon	Kampong Saigon		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73319	-107505	1.333333	103.9	1:20:00N	103:54:00E	48NUG7762347401	NA48-10	P	PPL		SN	00				D				KAMPONGRETEH	Kampong Reteh	Kampong Reteh	KAMPONGRETEH	Kampong Reteh	Kampong Reteh		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73318	-107504	1.273889	103.824167	1:16:26N	103:49:27E	48NUG6918240833	NA48-10	P	PPLX		SN	00				N				RADINMAS	Radin Mas	Radin Mas	RADINMAS	Radin Mas	Radin Mas		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73318	37014	1.273889	103.824167	1:16:26N	103:49:27E	48NUG6918240833	NA48-10	P	PPLX		SN	00				V				KAMPONGRADINMAS	Kampong Radin Mas	Kampong Radin Mas	KAMPONGRADINMAS	Kampong Radin Mas	Kampong Radin Mas		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73558	-107821	1.266667	103.833333	1:16:00N	103:50:00E	48NUG7020240034	NA48-10	P	PPL		SN	00				D				SAGA	Saga	Saga	SAGA	Saga	Saga		1995-07-26	1,2,3,4,5	1			1995-06-21		
5	-73558	-107822	1.266667	103.833333	1:16:00N	103:50:00E	48NUG7020240034	NA48-10	P	PPL		SN	00				V				SAGAVILLAGE	Saga Village	Saga Village	SAGAVILLAGE	Saga Village	Saga Village		1995-07-26	1,2,3,4,5				1995-06-21		
5	-73543	-107798	1.333333	103.8	1:20:00N	103:48:00E	48NUG6649647406	NA48-10	P	PPLX		SN	00				D				RACECOURSEVILLAGE	Race Course Village	Race Course Village	RACECOURSEVILLAGE	Race Course Village	Race Course Village		1995-07-26	1,2,3,4,5	1			1993-09-01		
