RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	-73064	-107163	1.352778	103.660278	1:21:10N	103:39:37E	48NUG5095049564	NA48-10	S	TRIG		SN	00				N				BAJAU	Bajau	Bajau	BAJAU	Bajau	Bajau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73059	-107157	1.333333	103.983333	1:20:00N	103:59:00E	48NUG8689547397	NA48-10	S	PAL		SN	00				D			Istana	ISTANAAYERGEMURUH	Istana Ayer Gemuruh	Istana Ayer Gemuruh	AYERGEMURUH ISTANA	Ayer Gemuruh, Istana	Ayer Gemuruh, Istana		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73662	-107959	1.408056	103.885833	1:24:29N	103:53:09E	48NUG7605055662	NA48-10	S	TRIG		SN	00				N				SUNGAIPUS	Sungai Pus	Sungai Pus	SUNGAIPUS	Sungai Pus	Sungai Pus		1995-04-27	1,2,3,4,5	1			1995-04-25		
5	-73592	-107863	1.417222	103.865833	1:25:02N	103:51:57E	48NUG7382656677	NA48-10	S	AIRF		SN	00				D				SELETAR	Seletar	Seletar	SELETAR	Seletar	Seletar		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73525	-107775	1.408333	103.958889	1:24:30N	103:57:32E	48NUG8417955689	NA48-10	S	TRIG		SN	00				N				PUAKA	Puaka	Puaka	PUAKA	Puaka	Puaka		1995-04-27	1,2,3,4,5	1			1995-04-25		
5	-73519	-107768	1.333333	103.666667	1:20:00N	103:40:00E	48NUG5166047414	NA48-10	S	EST		SN	00				D				POHTHIANHOCKSOONHINESTATE	Poh Thian Hock Soon Hin Estate	Poh Thian Hock Soon Hin Estate	POHTHIANHOCKSOONHINESTATE	Poh Thian Hock Soon Hin Estate	Poh Thian Hock Soon Hin Estate		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73225	-107388	1.383333	103.683333	1:23:00N	103:41:00E	48NUG5351752941	NA48-10	S	EST		SN	00				D				HOESANESTATE	Hoe San Estate	Hoe San Estate	HOESANESTATE	Hoe San Estate	Hoe San Estate		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73216	-107378	1.353611	103.769722	1:21:13N	103:46:11E	48NUG6312849650	NA48-10	S	SHRN		SN	00				N			Keramat	KERAMATHABIBISMAIL	Keramat Habib Ismail	Keramat Habib Ismail	HABIBISMAIL KERAMAT	Habib Ismail, Keramat	Habib Ismail, Keramat		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73171	-107311	1.355556	103.680833	1:21:20N	103:40:51E	48NUG5323849870	NA48-10	S	TRIG		SN	00				N				CHOACHUKANG	Choa Chu Kang	Choa Chu Kang	CHOACHUKANG	Choa Chu Kang	Choa Chu Kang		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73463	-107694	1.324167	103.7775	1:19:27N	103:46:39E	48NUG6399246394	NA48-10	S	TRIG		SN	00				N				PANDANIV	Pandan IV	Pandan IV	PANDANIV	Pandan IV	Pandan IV		1995-07-26	1,2,3,4,5	1			1993-09-01		
